Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
[2]     20.0    0.15    0.02 13200084         luaH_gset <cycle 1> [2]
                0.01    0.00 1599295/4399431     lua_setmetatable [15]
                0.01    0.00 3200016/10400469     luaH_create [23]
                0.00    0.00  800021/8799331     utf8_decode [11]
                             3598691             obj_destroy <cycle 1> [14]
                              800022             read_string <cycle 1> [33]
-----------------------------------------------
                                                 <spontaneous>
[3]     18.5    0.02    0.14                 luaV_equalobj [3]
                0.06    0.02 3200000/14000816     luaH_gset <cycle 1> [2]
                0.02    0.01 1200003/14000816     luaH_del <cycle 1> [13]
                0.02    0.00 4000002/16800022     const_init [7]
                0.00    0.00  800002/800002      pushline [214]
-----------------------------------------------
                                                 <spontaneous>
[4]     14.3    0.01    0.11                 luaV_lessequal [4]
                0.07    0.02 3600000/14000816     luaO_arith <cycle 1> [213]
                0.01    0.01 3600000/3600235     luaH_del_set [25]
-----------------------------------------------
                                                 <spontaneous>
[5]     13.4    0.08    0.04                 luaV_finishget [5]
                0.02    0.01 2400014/2400014     setsvalue [17]
                0.01    0.00 19200042/19200105     flt_new [29]
-----------------------------------------------
                                   4             luaV_execute <cycle 1> [6]
                                   1             luaD_hook <cycle 1> [235]
                                   1             auxgetstr <cycle 1> [287]
                                   6             lua_pushlightuserdata <cycle 1> [340]
                             3600174             luaO_arith <cycle 1> [213]
                0.00    0.00       1/14000816     lua_gettable [138]
                0.00    0.00       3/14000816     lua_geti [89]
[6]     12.5    0.06    0.05 3600186+4       luaV_execute <cycle 1> [6]
                0.05    0.00 8800002/16800022     const_init [7]
                0.00    0.00       2/4399431     lua_setmetatable [15]
                0.00    0.00       1/30          luaD_shrinkstack [90]
                0.00    0.00       1/12          luaL_unref [262]
                             5200006             luaH_gset <cycle 1> [2]
                              800001             luaO_int2fb <cycle 1> [35]
                              800000             luaO_pushvfstring <cycle 1> [187]
                                   8             luaD_hook <cycle 1> [235]
                                   1             luaL_tolstring <cycle 1> [266]
                                   1             lua_tonumberx <cycle 1> [259]
                                   4             luaV_execute <cycle 1> [6]
-----------------------------------------------
                0.00    0.00       1/16800022     luaV_concat [149]
                0.00    0.00       2/16800022     luaO_pushvfstring <cycle 1> [187]
                0.00    0.00       8/16800022     l_strcmp [73]
                0.00    0.00  800002/16800022     luaO_pushfstring [12]
                0.02    0.00 3200005/16800022     LTnum [24]
                0.02    0.00 4000002/16800022     luaV_equalobj [3]
                0.05    0.00 8800002/16800022     luaV_execute <cycle 1> [6]
[7]     10.5    0.09    0.00 16800022         const_init [7]
                0.00    0.00       3/4399431     lua_setmetatable [15]
-----------------------------------------------
                                                 <spontaneous>
[8]      9.9    0.00    0.09                 LEintfloat [8]
                0.06    0.02 3200005/14000816     luaH_gset <cycle 1> [2]
-----------------------------------------------
                                                 <spontaneous>
[9]      8.6    0.06    0.01                 const_destroy [9]
                0.01    0.00 1999703/4399431     lua_setmetatable [15]
-----------------------------------------------
                                                 <spontaneous>
[10]     8.1    0.07    0.00                 value_equal [10]
                0.00    0.00     193/8799331     utf8_decode [11]
-----------------------------------------------
                                  22             utf8_decode [11]
                0.00    0.00       1/8799331     checkoption [202]
                0.00    0.00       1/8799331     os_date <cycle 1> [143]
                0.00    0.00       1/8799331     luaY_parser <cycle 1> [201]
                0.00    0.00       1/8799331     list_remove [204]
                0.00    0.00       1/8799331     l_message [203]
                0.00    0.00       1/8799331     resume [123]
                0.00    0.00       1/8799331     funcname [197]
                0.00    0.00       1/8799331     list_existnode [198]
                0.00    0.00       1/8799331     lua_callk [199]
                0.00    0.00       1/8799331     lua_load [200]
                0.00    0.00       1/8799331     lua_dump [147]
                0.00    0.00       1/8799331     codeunexpval [145]
                0.00    0.00       2/8799331     lua_setmetatable [15]
                0.00    0.00       2/8799331     newlabelentry [184]
                0.00    0.00       2/8799331     list_insert [181]
                0.00    0.00       2/8799331     list_destroy [180]
                0.00    0.00       2/8799331     lua_error [182]
                0.00    0.00       2/8799331     lua_getallocf [183]
                0.00    0.00       3/8799331     resume_error [172]
                0.00    0.00       3/8799331     findlabel [171]
                0.00    0.00       3/8799331     lua_len [105]
                0.00    0.00       4/8799331     getfield [167]
